text,notes
"melancholic slow melody, somber and reflective",54:1.0 61:0.5 66:2.0 64:1.5 58:2.0 55:2.0 55:1.0 56:1.0 64:2.0 60:2.0 56:2.0 64:1.0 58:1.0 58:1.5 61:2.0 57:2.0 55:0.5 58:2.0 63:1.0 63:0.5
"heartfelt, sorrowful and slow rhythm, emotional",62:1.0 59:0.5 56:1.0 58:1.5 64:1.5 58:2.0 55:2.0 60:2.0 64:0.5 58:0.5 50:2.0 61:2.0 51:1.5 57:1.5 54:1.5 59:0.5 61:1.0 59:1.0 63:1.0 61:1.5
"downbeat, low sound",60:1.2 63:0.8999999999999999 57:1.2 62:0.8999999999999999 51:0.8999999999999999 56:0.6 64:0.3 58:0.3 61:0.6 57:0.6 54:0.6 61:1.2 62:1.2 64:0.3 61:1.2 50:0.3 62:0.3 60:0.3 59:0.8999999999999999 59:1.2 64:0.6 60:0.3 60:0.6 56:0.6 51:0.3 55:0.3 64:0.3 57:0.8999999999999999 53:0.6 64:0.3 54:1.2 52:0.8999999999999999 52:0.6
pensive and reflective tune,59:0.8999999999999999 50:1.2 58:0.3 59:0.6 56:1.2 56:0.6 62:0.8999999999999999 64:0.8999999999999999 64:0.3 55:1.2 59:1.2 63:0.8999999999999999 59:0.6 65:0.3 62:0.6 55:0.8999999999999999 57:0.3 58:0.3 54:1.2 59:0.3 64:0.8999999999999999 57:1.2 53:1.2 57:1.2 51:0.3 54:0.3 57:1.2 62:0.6 64:0.3 50:0.8999999999999999 60:0.3 56:0.6 58:0.6
sad and slow paced melody,60:0.21428571428571427 58:0.8571428571428571 57:0.6428571428571428 59:0.8571428571428571 62:0.6428571428571428 64:0.8571428571428571 61:0.8571428571428571 53:0.42857142857142855 55:0.8571428571428571 54:0.42857142857142855 50:0.6428571428571428 59:0.6428571428571428 63:0.6428571428571428 55:0.21428571428571427 64:0.8571428571428571 58:0.6428571428571428 55:0.8571428571428571 62:0.6428571428571428 65:0.42857142857142855 60:0.8571428571428571 57:0.42857142857142855 61:0.6428571428571428 58:0.8571428571428571 57:0.8571428571428571 64:0.6428571428571428 57:0.21428571428571427 59:0.21428571428571427 61:0.6428571428571428 60:0.21428571428571427 54:0.42857142857142855 57:0.8571428571428571 67:0.21428571428571427 58:0.42857142857142855 58:0.42857142857142855 58:0.21428571428571427 64:0.42857142857142855 54:0.21428571428571427 58:0.21428571428571427 50:0.8571428571428571 60:0.6428571428571428 67:0.21428571428571427 59:0.42857142857142855 63:0.21428571428571427 56:0.42857142857142855 57:0.8571428571428571 63:0.42857142857142855
"fast-paced, lively and high energy rhythm",74:0.5 75:0.5 72:1.5 74:1.0 79:1.0 81:1.5 72:0.5 81:0.5 75:1.0 72:2.0 75:1.5 73:1.5 72:1.0 70:0.5 72:0.5 74:0.5 79:2.0 79:1.5 81:2.0 77:0.5
"driving and intense beat, upbeat and fast",74:1.5 79:1.5 75:0.5 80:2.0 76:1.0 76:1.0 83:1.0 75:0.5 77:2.0 73:0.5 70:1.0 84:1.0 71:2.0 82:0.5 84:2.0 77:1.0 83:2.0 76:1.0 73:2.0 81:2.0
powerful and fast paced music,67:0.42857142857142855 67:0.6428571428571428 72:0.42857142857142855 73:0.8571428571428571 75:0.21428571428571427 70:0.42857142857142855 72:0.21428571428571427 84:0.42857142857142855 80:0.6428571428571428 70:0.42857142857142855 76:0.6428571428571428 79:0.21428571428571427 70:0.42857142857142855 79:0.42857142857142855 69:0.21428571428571427 76:0.21428571428571427 69:0.8571428571428571 77:0.21428571428571427 74:0.6428571428571428 71:0.21428571428571427 84:0.21428571428571427 72:0.8571428571428571 73:0.8571428571428571 74:0.6428571428571428 67:0.8571428571428571 75:0.21428571428571427 81:0.8571428571428571 74:0.42857142857142855 75:0.42857142857142855 73:0.6428571428571428 72:0.8571428571428571 79:0.42857142857142855 77:0.6428571428571428 79:0.21428571428571427 77:0.8571428571428571 69:0.42857142857142855 78:0.42857142857142855 79:0.42857142857142855 73:0.6428571428571428 75:0.21428571428571427 77:0.21428571428571427 82:0.21428571428571427 69:0.8571428571428571 76:0.6428571428571428 74:0.6428571428571428 74:0.8571428571428571
thrilling fast energetic rhythm,73:0.25 76:0.75 71:0.25 70:0.75 72:0.25 81:1.0 77:1.0 71:1.0 76:0.5 75:0.5 76:0.25 79:0.75 71:0.75 76:0.5 67:0.75 69:0.25 77:1.0 74:0.5 80:1.0 75:0.5 72:1.0 74:0.5 81:0.25 77:0.75 79:0.5 71:1.0 77:0.25 71:0.75 76:0.5 78:0.25 74:0.75 80:0.25 77:0.75 72:0.25 76:0.75 79:0.75 75:0.25 83:1.0 79:0.5 67:0.75
dynamic and fast tempo beat,77:0.8999999999999999 78:0.8999999999999999 78:0.8999999999999999 76:1.2 74:0.6 80:0.8999999999999999 80:0.3 79:1.2 79:0.6 74:1.2 74:0.8999999999999999 80:0.3 80:0.3 81:1.2 78:0.8999999999999999 78:0.8999999999999999 74:0.3 81:1.2 75:0.8999999999999999 81:0.6 68:1.2 72:1.2 73:0.6 76:0.3 81:0.3 77:1.2 83:0.8999999999999999 80:0.8999999999999999 72:0.3 69:1.2 72:0.8999999999999999 78:0.8999999999999999 72:0.8999999999999999
"swinging jazzy rhythm, upbeat",74:0.75 78:0.1875 56:0.375 68:0.5625 55:0.375 69:0.1875 67:0.375 70:0.5625 71:0.1875 76:0.5625 64:0.75 72:0.5625 63:0.75 62:0.375 67:0.75 71:0.1875 73:0.1875 69:0.375 68:0.375 68:0.75 56:0.1875 60:0.75 66:0.75 68:0.75 63:0.1875 66:0.5625 79:0.375 76:0.375 69:0.5625 60:0.5625 73:0.75 76:0.5625 71:0.5625 69:0.75 59:0.75 71:0.75 61:0.75 75:0.1875 65:0.5625 65:0.375 71:0.5625 72:0.375 58:0.1875 65:0.1875 59:0.5625 79:0.75 69:0.1875 71:0.75 68:0.1875 74:0.375 61:0.75 66:0.5625 65:0.1875
smooth and syncopated jazz,75:0.375 75:1.5 61:1.125 59:1.125 64:0.75 73:1.5 62:1.5 77:1.125 70:1.5 67:0.75 56:1.5 78:1.125 70:1.125 59:0.75 69:1.5 75:1.125 66:0.75 70:1.125 66:1.125 65:1.125 59:1.125 58:0.75 72:1.125 55:0.75 64:1.5 61:0.375
complex and improvisational jazzy melody,66:0.375 77:1.125 77:0.375 73:1.125 62:1.125 76:0.375 72:0.75 61:0.375 71:0.75 73:1.5 65:1.125 60:1.125 66:0.75 78:0.75 64:1.5 65:0.375 62:0.75 66:1.5 69:0.375 71:1.125 66:0.375 56:1.5 79:1.125 61:0.375 73:1.5 72:0.375
cool and mellow jazzy sounds,63:0.6428571428571428 67:0.21428571428571427 68:0.6428571428571428 62:0.6428571428571428 63:0.42857142857142855 72:0.21428571428571427 69:0.8571428571428571 69:0.8571428571428571 61:0.21428571428571427 75:0.42857142857142855 75:0.42857142857142855 65:0.21428571428571427 59:0.8571428571428571 71:0.8571428571428571 68:0.21428571428571427 69:0.6428571428571428 65:0.6428571428571428 61:0.8571428571428571 72:0.8571428571428571 72:0.21428571428571427 74:0.21428571428571427 55:0.42857142857142855 79:0.6428571428571428 59:0.42857142857142855 62:0.6428571428571428 60:0.8571428571428571 66:0.42857142857142855 55:0.6428571428571428 79:0.21428571428571427 65:0.6428571428571428 58:0.8571428571428571 70:0.21428571428571427 65:0.21428571428571427 57:0.21428571428571427 67:0.8571428571428571 65:0.42857142857142855 61:0.42857142857142855 66:0.21428571428571427 67:0.8571428571428571 62:0.21428571428571427 55:0.8571428571428571 67:0.42857142857142855 66:0.42857142857142855 75:0.8571428571428571 68:0.8571428571428571 61:0.6428571428571428
relaxed and groovy jazz,71:1.125 59:0.75 70:1.125 69:1.5 79:0.375 66:1.125 64:0.75 72:1.5 57:1.5 64:0.75 55:1.5 79:1.125 61:0.375 64:0.75 72:0.75 62:0.75 65:1.5 70:0.75 73:1.5 65:0.375 62:0.75 67:1.5 66:1.125 59:0.75 77:1.125 62:0.75
elegant and refined classical piece,70:1.0 61:0.5 69:1.0 68:0.5 61:1.0 59:0.5 72:2.0 64:1.0 68:0.5 63:0.5 62:2.0 65:0.5 59:0.5 75:1.0 62:0.5 62:2.0 59:2.0 69:1.0 59:2.0 62:1.5
majestic and orchestral classical tune,56:0.75 74:1.5 61:1.5 59:1.125 68:1.5 69:1.5 69:0.375 67:0.375 77:1.125 60:1.5 61:0.375 70:1.5 68:1.125 66:0.375 67:1.5 69:0.75 77:1.5 74:1.5 66:1.125 66:0.75 63:0.75 65:0.375 58:0.375 63:0.375 69:0.375 69:0.375
structured and detailed classical music,65:1.5 69:0.75 60:0.375 69:0.75 68:1.125 78:0.75 78:0.375 61:0.375 58:0.75 58:1.125 72:0.375 59:0.75 60:0.75 66:0.375 62:1.125 65:1.125 68:1.5 75:0.75 67:1.5 74:1.5 72:1.5 64:0.375 69:1.5 66:0.75 57:1.5 70:1.125
formal and refined sound,64:1.2 73:1.2 63:0.6 66:1.2 70:0.3 56:0.6 70:0.6 68:0.6 61:0.3 75:1.2 56:0.8999999999999999 79:0.6 73:0.3 63:0.3 60:0.3 67:0.6 63:0.3 77:0.3 65:0.3 66:0.8999999999999999 64:0.8999999999999999 75:0.3 63:0.6 78:1.2 67:0.8999999999999999 68:0.8999999999999999 63:0.6 60:0.3 68:0.6 79:0.8999999999999999 79:1.2 66:0.6 65:1.2
graceful and balanced classical piece,69:0.6 72:0.3 70:0.8999999999999999 66:0.6 69:0.3 75:1.2 64:1.2 67:1.2 67:0.6 69:0.8999999999999999 73:1.2 65:0.3 55:0.3 62:0.3 70:1.2 67:0.8999999999999999 69:0.6 59:0.3 62:0.6 62:0.6 71:0.6 75:0.8999999999999999 57:0.8999999999999999 71:1.2 75:0.6 64:1.2 64:0.8999999999999999 68:1.2 71:0.8999999999999999 68:0.8999999999999999 68:0.8999999999999999 71:0.6 70:1.2
atmospheric and ethereal ambient sound,59:0.8571428571428571 57:0.42857142857142855 60:0.42857142857142855 63:0.42857142857142855 55:0.21428571428571427 45:0.8571428571428571 64:0.8571428571428571 59:0.42857142857142855 46:0.6428571428571428 54:0.6428571428571428 59:0.8571428571428571 55:0.42857142857142855 53:0.6428571428571428 53:0.21428571428571427 59:0.21428571428571427 56:0.21428571428571427 51:0.42857142857142855 50:0.6428571428571428 60:0.42857142857142855 60:0.6428571428571428 52:0.6428571428571428 53:0.21428571428571427 53:0.21428571428571427 62:0.21428571428571427 54:0.21428571428571427 55:0.8571428571428571 52:0.6428571428571428 49:0.42857142857142855 51:0.6428571428571428 45:0.6428571428571428 56:0.8571428571428571 58:0.21428571428571427 46:0.21428571428571427 56:0.42857142857142855 61:0.21428571428571427 57:0.42857142857142855 49:0.42857142857142855 67:0.21428571428571427 54:0.8571428571428571 66:0.6428571428571428 45:0.21428571428571427 53:0.21428571428571427 60:0.6428571428571428 56:0.21428571428571427 59:0.8571428571428571 51:0.8571428571428571
dreamy and spacious ambient music,60:0.3 55:0.8999999999999999 54:1.2 59:1.2 59:0.6 62:0.6 61:1.2 58:0.3 65:1.2 56:0.3 53:1.2 58:0.6 46:0.6 56:0.8999999999999999 63:0.6 47:1.2 55:1.2 46:0.3 57:0.3 50:0.6 52:0.8999999999999999 64:0.8999999999999999 60:0.8999999999999999 55:0.3 61:0.8999999999999999 49:0.3 52:1.2 51:0.3 62:1.2 59:0.6 65:0.3 55:0.8999999999999999 50:0.6
slow and evolving ambient textures,51:0.75 57:0.375 60:0.1875 55:0.1875 55:0.5625 55:0.75 55:0.75 57:0.75 64:0.5625 58:0.75 57:0.5625 64:0.75 60:0.75 55:0.1875 62:0.75 54:0.5625 52:0.375 67:0.1875 56:0.5625 58:0.5625 48:0.375 62:0.375 63:0.5625 52:0.75 57:0.1875 52:0.75 48:0.5625 55:0.375 55:0.75 61:0.75 56:0.5625 55:0.75 58:0.75 54:0.75 46:0.375 52:0.5625 51:0.5625 45:0.375 65:0.5625 65:0.75 61:0.1875 57:0.75 56:0.1875 54:0.75 55:0.75 62:0.75 51:0.75 56:0.375 57:0.75 59:0.375 63:0.5625 59:0.375 61:0.75
abstract and peaceful soundscape,63:0.1875 67:0.75 58:0.375 61:0.375 61:0.375 64:0.1875 55:0.1875 59:0.375 65:0.375 62:0.1875 53:0.75 61:0.75 54:0.5625 60:0.5625 57:0.5625 57:0.5625 52:0.75 53:0.75 45:0.5625 63:0.5625 55:0.75 55:0.75 59:0.5625 66:0.75 57:0.5625 58:0.1875 58:0.75 64:0.375 55:0.5625 57:0.5625 52:0.375 50:0.5625 46:0.5625 46:0.5625 53:0.375 56:0.5625 55:0.375 64:0.75 67:0.75 58:0.75 56:0.375 52:0.1875 62:0.375 51:0.375 47:0.75 47:0.375 48:0.1875 53:0.75 64:0.1875 59:0.1875 55:0.5625 64:0.5625 61:0.1875
gentle and floating ambient background,57:0.8571428571428571 58:0.42857142857142855 61:0.42857142857142855 51:0.21428571428571427 65:0.42857142857142855 63:0.8571428571428571 58:0.8571428571428571 61:0.21428571428571427 60:0.8571428571428571 56:0.8571428571428571 50:0.6428571428571428 57:0.6428571428571428 53:0.42857142857142855 63:0.8571428571428571 48:0.42857142857142855 60:0.8571428571428571 55:0.8571428571428571 64:0.8571428571428571 54:0.6428571428571428 56:0.21428571428571427 48:0.8571428571428571 58:0.42857142857142855 56:0.21428571428571427 61:0.42857142857142855 54:0.8571428571428571 55:0.6428571428571428 65:0.21428571428571427 61:0.21428571428571427 58:0.8571428571428571 65:0.21428571428571427 64:0.21428571428571427 58:0.6428571428571428 59:0.21428571428571427 51:0.42857142857142855 67:0.6428571428571428 60:0.8571428571428571 58:0.42857142857142855 61:0.42857142857142855 52:0.8571428571428571 57:0.42857142857142855 51:0.6428571428571428 59:0.6428571428571428 57:0.21428571428571427 56:0.21428571428571427 63:0.21428571428571427 59:0.21428571428571427
heavy and distorted rock riff,60:0.75 63:0.5625 62:0.75 56:0.375 65:0.375 52:0.75 53:0.1875 56:0.75 51:0.5625 62:0.75 59:0.75 62:0.1875 53:0.75 63:0.5625 52:0.75 50:0.375 56:0.375 63:0.75 64:0.375 48:0.75 57:0.5625 55:0.375 59:0.1875 46:0.75 56:0.375 58:0.375 58:0.1875 63:0.75 58:0.375 53:0.1875 61:0.5625 65:0.5625 64:0.1875 55:0.5625 54:0.375 55:0.75 53:0.75 51:0.5625 63:0.75 60:0.375 62:0.1875 58:0.5625 61:0.375 67:0.5625 59:0.5625 51:0.75 53:0.375 59:0.375 55:0.75 46:0.1875 53:0.75 58:0.375 60:0.375
loud and powerful rock beat,59:1.2 63:1.2 56:0.6 60:0.8999999999999999 51:1.2 56:0.6 64:1.2 62:0.3 55:1.2 61:0.8999999999999999 60:1.2 45:0.8999999999999999 61:0.3 62:0.6 53:1.2 61:1.2 60:0.6 54:1.2 65:0.3 48:0.3 60:0.6 58:1.2 59:0.3 56:0.3 55:0.8999999999999999 61:0.8999999999999999 55:0.3 45:0.8999999999999999 58:0.3 55:1.2 61:0.3 47:0.8999999999999999 62:0.3
energetic and driving rock rhythm,55:1.5 60:0.75 58:1.5 52:1.5 54:1.125 57:1.125 50:0.75 57:1.125 55:1.5 55:0.75 57:1.125 53:1.125 55:0.375 61:0.375 61:1.125 48:1.125 59:0.75 58:0.75 63:0.375 59:1.5 59:1.125 55:0.75 46:0.75 51:1.125 46:1.5 58:1.125
intense and distorted sound,57:0.42857142857142855 55:0.21428571428571427 46:0.42857142857142855 55:0.42857142857142855 61:0.6428571428571428 57:0.42857142857142855 61:0.21428571428571427 61:0.8571428571428571 52:0.21428571428571427 67:0.21428571428571427 55:0.6428571428571428 55:0.21428571428571427 50:0.8571428571428571 57:0.21428571428571427 54:0.42857142857142855 47:0.6428571428571428 56:0.42857142857142855 53:0.21428571428571427 57:0.6428571428571428 54:0.21428571428571427 55:0.42857142857142855 60:0.21428571428571427 56:0.42857142857142855 53:0.8571428571428571 57:0.6428571428571428 60:0.42857142857142855 61:0.21428571428571427 57:0.42857142857142855 58:0.6428571428571428 53:0.21428571428571427 58:0.42857142857142855 51:0.42857142857142855 61:0.6428571428571428 54:0.6428571428571428 52:0.6428571428571428 60:0.6428571428571428 57:0.6428571428571428 56:0.42857142857142855 60:0.6428571428571428 60:0.42857142857142855 63:0.21428571428571427 48:0.42857142857142855 55:0.21428571428571427 60:0.21428571428571427 55:0.6428571428571428 55:0.6428571428571428
raw and powerful rock energy,47:0.42857142857142855 52:0.21428571428571427 67:0.42857142857142855 59:0.42857142857142855 51:0.21428571428571427 58:0.21428571428571427 67:0.42857142857142855 60:0.21428571428571427 59:0.42857142857142855 57:0.8571428571428571 65:0.8571428571428571 62:0.21428571428571427 50:0.8571428571428571 62:0.21428571428571427 60:0.6428571428571428 53:0.8571428571428571 57:0.8571428571428571 64:0.8571428571428571 46:0.6428571428571428 64:0.42857142857142855 60:0.8571428571428571 60:0.21428571428571427 56:0.6428571428571428 55:0.42857142857142855 62:0.21428571428571427 56:0.42857142857142855 62:0.42857142857142855 54:0.42857142857142855 47:0.8571428571428571 59:0.6428571428571428 53:0.6428571428571428 62:0.21428571428571427 62:0.42857142857142855 56:0.6428571428571428 63:0.8571428571428571 52:0.8571428571428571 63:0.6428571428571428 60:0.42857142857142855 45:0.8571428571428571 47:0.21428571428571427 60:0.8571428571428571 57:0.21428571428571427 59:0.8571428571428571 67:0.8571428571428571 55:0.21428571428571427 57:0.21428571428571427
catchy and commercial pop melody,69:0.5 70:1.0 76:0.5 69:0.75 68:0.5 62:0.75 59:1.0 69:1.0 74:0.25 72:1.0 65:0.5 67:0.75 73:1.0 71:0.5 75:1.0 68:0.25 73:0.75 66:0.75 68:0.75 73:1.0 67:0.5 66:0.25 71:1.0 75:0.5 67:0.75 65:0.25 69:0.5 78:0.25 63:0.75 73:1.0 65:0.25 73:1.0 62:1.0 60:0.75 71:0.75 59:0.75 73:1.0 76:0.25 67:0.25 74:0.25
radio-friendly upbeat pop rhythm,74:0.375 67:0.375 72:1.125 71:0.375 69:1.5 66:0.75 62:0.75 69:0.75 75:0.375 72:1.125 67:1.5 74:1.5 69:0.375 68:0.75 64:0.375 77:1.5 69:0.75 75:1.5 68:0.75 62:1.5 72:0.375 72:0.375 71:0.375 59:0.375 75:1.5 67:0.375
modern and mainstream pop,69:0.21428571428571427 76:0.8571428571428571 76:0.6428571428571428 73:0.21428571428571427 73:0.21428571428571427 76:0.21428571428571427 65:0.8571428571428571 76:0.21428571428571427 73:0.42857142857142855 66:0.21428571428571427 69:0.6428571428571428 74:0.21428571428571427 66:0.42857142857142855 66:0.6428571428571428 60:0.8571428571428571 63:0.21428571428571427 71:0.6428571428571428 76:0.21428571428571427 65:0.42857142857142855 68:0.6428571428571428 68:0.21428571428571427 75:0.42857142857142855 72:0.21428571428571427 74:0.6428571428571428 69:0.8571428571428571 73:0.8571428571428571 76:0.42857142857142855 66:0.21428571428571427 68:0.8571428571428571 81:0.21428571428571427 71:0.21428571428571427 69:0.42857142857142855 70:0.6428571428571428 62:0.6428571428571428 76:0.6428571428571428 72:0.21428571428571427 71:0.8571428571428571 68:0.8571428571428571 60:0.21428571428571427 70:0.8571428571428571 80:0.6428571428571428 64:0.21428571428571427 67:0.6428571428571428 71:0.21428571428571427 70:0.8571428571428571 67:0.21428571428571427
easy listening pop tune,69:0.5625 59:0.375 67:0.5625 70:0.375 73:0.75 69:0.75 71:0.375 70:0.75 62:0.375 81:0.5625 65:0.75 76:0.375 79:0.75 73:0.75 80:0.5625 59:0.5625 71:0.1875 64:0.1875 75:0.75 78:0.375 66:0.75 68:0.375 71:0.1875 65:0.1875 64:0.1875 62:0.75 68:0.1875 60:0.75 74:0.75 66:0.375 77:0.375 72:0.5625 73:0.75 64:0.75 75:0.375 69:0.75 62:0.375 69:0.1875 72:0.75 69:0.375 68:0.1875 72:0.5625 71:0.1875 81:0.75 73:0.1875 69:0.5625 69:0.5625 73:0.375 74:0.5625 62:0.75 69:0.375 65:0.5625 77:0.5625
accessible and popular sound,77:0.375 64:1.125 75:1.125 71:0.75 59:1.125 67:0.375 66:1.125 68:0.75 71:0.375 69:0.75 67:0.75 67:0.75 66:1.5 71:1.5 68:0.375 67:0.375 66:1.125 71:1.125 66:1.5 69:0.375 64:0.375 72:0.375 77:0.375 65:1.125 73:0.375 68:1.5
"high-energy dance beat, fast tempo",71:0.375 59:0.5625 77:0.1875 72:0.5625 70:0.1875 78:0.5625 75:0.1875 76:0.375 61:0.5625 76:0.375 74:0.1875 77:0.75 70:0.1875 65:0.5625 65:0.5625 67:0.75 73:0.5625 71:0.375 73:0.75 78:0.75 66:0.5625 75:0.1875 67:0.75 69:0.1875 70:0.375 74:0.75 62:0.375 59:0.75 75:0.5625 58:0.375 83:0.375 74:0.75 70:0.375 66:0.75 76:0.375 80:0.1875 81:0.375 73:0.375 58:0.75 66:0.1875 72:0.5625 66:0.5625 72:0.5625 66:0.5625 62:0.375 62:0.5625 76:0.1875 69:0.375 71:0.1875 81:0.75 61:0.375 78:0.5625 58:0.75
pulsating and rhythmic dance,66:0.5625 63:0.1875 75:0.1875 78:0.5625 79:0.5625 76:0.5625 72:0.75 67:0.1875 67:0.1875 72:0.5625 63:0.75 73:0.1875 70:0.375 73:0.375 76:0.75 78:0.1875 76:0.1875 73:0.1875 64:0.75 66:0.375 71:0.5625 67:0.5625 76:0.1875 77:0.75 64:0.1875 65:0.75 70:0.1875 69:0.375 76:0.5625 65:0.1875 80:0.375 78:0.375 64:0.75 74:0.375 63:0.75 70:0.5625 76:0.1875 65:0.1875 66:0.75 72:0.375 76:0.75 70:0.1875 58:0.1875 80:0.5625 70:0.375 78:0.75 67:0.375 66:0.375 71:0.75 78:0.1875 73:0.75 69:0.375 62:0.5625
